"State,Airport,Type"
"WV,LWB,Destination"
"WY,COD,Destination"
"WY,CPR,Destination"
"WY,CYS,Destination"
"WY,GCC,Destination"
"WY,JAC,Destination"
"WY,LAR,Destination"
"WY,RIW,Destination"
"WY,RKS,Destination"
"WY,SHR,Destination"
"AK,ADK,Origin"
"AK,ADQ,Origin"
"AK,AKN,Origin"
"AK,ANC,Origin"
"AK,BET,Origin"
"AK,BRW,Origin"
"AK,CDV,Origin"
"AK,DLG,Origin"
"AK,FAI,Origin"
"AK,JNU,Origin"
"AK,KTN,Origin"
"AK,OME,Origin"
"AK,OTZ,Origin"
"AK,PSG,Origin"
"AK,SCC,Origin"
"AK,SIT,Origin"
"AK,WRG,Origin"
"AK,YAK,Origin"
"AL,BHM,Origin"
"AL,DHN,Origin"
"AL,HSV,Origin"
"AL,MGM,Origin"
"AL,MOB,Origin"
"AR,FSM,Origin"
"AR,LIT,Origin"
"AR,TXK,Origin"
"AR,XNA,Origin"
"AZ,AZA,Origin"
"AZ,FLG,Origin"
"AZ,PHX,Origin"
"AZ,PRC,Origin"
"AZ,TUS,Origin"
"AZ,YUM,Origin"
"CA,ACV,Origin"
"CA,BFL,Origin"
"CA,BIH,Origin"
"CA,BUR,Origin"
"CA,FAT,Origin"
"CA,LAX,Origin"
"CA,LGB,Origin"
"CA,MRY,Origin"
"CA,OAK,Origin"
"CA,ONT,Origin"
"CA,PSP,Origin"
"CA,RDD,Origin"
"CA,SAN,Origin"
"CA,SBA,Origin"
"CA,SBP,Origin"
"CA,SCK,Origin"
"CA,SFO,Origin"
"CA,SJC,Origin"
"CA,SMF,Origin"
"CA,SMX,Origin"
"CA,SNA,Origin"
"CA,STS,Origin"
"CO,ALS,Origin"
"CO,ASE,Origin"
"CO,COS,Origin"
"CO,DEN,Origin"
"CO,DRO,Origin"
"CO,EGE,Origin"
"CO,GJT,Origin"
"CO,GUC,Origin"
"CO,HDN,Origin"
"CO,MTJ,Origin"
"CO,PUB,Origin"
"CT,BDL,Origin"
"DE,ILG,Origin"
"FL,DAB,Origin"
"FL,ECP,Origin"
"FL,EYW,Origin"
"FL,FLL,Origin"
"FL,GNV,Origin"
"FL,JAX,Origin"
"FL,MCO,Origin"
"FL,MIA,Origin"
"FL,MLB,Origin"
"FL,PBI,Origin"
"FL,PGD,Origin"
"FL,PIE,Origin"
"FL,PNS,Origin"
"FL,RSW,Origin"
"FL,SFB,Origin"
"FL,SRQ,Origin"
"FL,TLH,Origin"
"FL,TPA,Origin"
"FL,VPS,Origin"
"GA,ABY,Origin"
"GA,AGS,Origin"
"GA,ATL,Origin"
"GA,BQK,Origin"
"GA,CSG,Origin"
"GA,SAV,Origin"
"GA,VLD,Origin"
"HI,HNL,Origin"
"HI,ITO,Origin"
"HI,KOA,Origin"
"HI,LIH,Origin"
"HI,OGG,Origin"
"IA,ALO,Origin"
"IA,CID,Origin"
"IA,DBQ,Origin"
"IA,DSM,Origin"
"IA,FOD,Origin"
"IA,MCW,Origin"
"IA,SUX,Origin"
"ID,BOI,Origin"
"ID,IDA,Origin"
"ID,LWS,Origin"
"ID,PIH,Origin"
"ID,SUN,Origin"
"ID,TWF,Origin"
"IL,BLV,Origin"
"IL,BMI,Origin"
"IL,CMI,Origin"
"IL,DEC,Origin"
"IL,MDW,Origin"
"IL,MLI,Origin"
"IL,ORD,Origin"
"IL,PIA,Origin"
"IL,RFD,Origin"
"IL,SPI,Origin"
"IN,EVV,Origin"
"IN,FWA,Origin"
"IN,IND,Origin"
"IN,SBN,Origin"
"KS,DDC,Origin"
"KS,GCK,Origin"
"KS,HYS,Origin"
"KS,ICT,Origin"
"KS,LBL,Origin"
"KS,MHK,Origin"
"KS,SLN,Origin"
"KY,CVG,Origin"
"KY,LEX,Origin"
"KY,OWB,Origin"
"KY,PAH,Origin"
"KY,SDF,Origin"
"LA,AEX,Origin"
"LA,BTR,Origin"
"LA,LCH,Origin"
"LA,LFT,Origin"
"LA,MLU,Origin"
"LA,MSY,Origin"
"LA,SHV,Origin"
"MA,BOS,Origin"
"MA,ORH,Origin"
"MD,BWI,Origin"
"MD,HGR,Origin"
"MD,SBY,Origin"
"ME,BGR,Origin"
"ME,PQI,Origin"
"ME,PWM,Origin"
"MI,APN,Origin"
"MI,AZO,Origin"
"MI,CIU,Origin"
"MI,CMX,Origin"
"MI,DTW,Origin"
"MI,ESC,Origin"
"MI,FNT,Origin"
"MI,GRR,Origin"
"MI,IMT,Origin"
"MI,LAN,Origin"
"MI,MBS,Origin"
"MI,MKG,Origin"
"MI,MQT,Origin"
